Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.962500,5.000000,180.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.962500,8.250000,180.000000,top
"C3","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",20.002500,11.500000,180.000000,top
"C10","1n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",4.812500,13.500000,0.000000,top
"C20","1n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",7.612500,4.750000,180.000000,top
"J1","8-pin header","DIP-8_W7.62mm",9.207500,16.510000,0.000000,top
"J2","Edge","PinHeader_1x04_P2.54mm_Horizontal",18.625000,28.800000,0.000000,top
"J3","Edge","PinHeader_1x04_P2.54mm_Horizontal",6.880000,29.000000,90.000000,top
"R1","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",4.450000,10.750000,180.000000,top
"R2","10k","R_1206_3216Metric",12.537500,4.750000,180.000000,top
"R3","10k","R_1206_3216Metric",5.287500,7.250000,0.000000,top
"R4","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",11.950000,21.000000,180.000000,top
"R5","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",14.087500,24.500000,180.000000,top
"R6","1k","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",6.625000,25.000000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",5.550000,21.000000,0.000000,top
"R10","560","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",20.002500,18.000000,180.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",5.397500,17.000000,0.000000,top
"R20","560","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",20.000000,14.750000,180.000000,top
"U1","MAX9926UAEE+","MAX9926UAEE&plus_",13.017500,13.335000,-90.000000,top
